location,month,case_fatality_rate,total_cases,new_cases,total_deaths,new_deaths
Afghanistan,2,0.0,6.0,1.0,0.0,0.0
Afghanistan,3,0.023195876288659795,1164.0,174.0,27.0,4.0
Afghanistan,4,0.03287286695722834,27074.0,1952.0,890.0,60.0
Afghanistan,5,0.02218687132766734,225674.0,13081.0,5007.0,194.0
Afghanistan,6,0.01999616482720416,750944.0,16299.0,15016.0,494.0
Afghanistan,7,0.031114498346247424,1077247.0,5158.0,33518.0,532.0
Afghanistan,8,0.03619110167051063,1163297.0,1494.0,42101.0,119.0
Afghanistan,9,0.036934600831022076,1163868.0,1109.0,42987.0,57.0
Afghanistan,10,0.0371500255227345,1245948.0,2157.0,46287.0,78.0
Afghanistan,11,0.037560268203539304,1308111.0,4849.0,49133.0,257.0
Afghanistan,12,0.040964808380452356,1522209.0,5252.0,62357.0,396.0
Africa,2,0.0,23.0,3.0,0.0,0.0
Africa,3,0.03038225966543201,41307.0,5778.0,1255.0,200.0
Africa,4,0.04759776384980818,590658.0,32972.0,28114.0,1434.0
Africa,5,0.03249967696035945,2646734.0,107806.0,86018.0,2588.0
Africa,6,0.026614033095737982,7891288.0,258342.0,210019.0,5924.0
Africa,7,0.021919265320890412,20679069.0,523179.0,453270.0,9536.0
Africa,8,0.022837308259822168,34466759.0,324155.0,787128.0,10130.0
Africa,9,0.02412130059848362,41152839.0,229700.0,992660.0,6051.0
Africa,10,0.02412420883885612,50495086.0,303539.0,1218154.0,6990.0
Africa,11,0.024019009820639686,59462318.0,388849.0,1428226.0,9139.0
Africa,12,0.023696255294204806,75832446.0,586136.0,1796945.0,13476.0
Albania,2,,0.0,0.0,0.0,0.0
Albania,3,0.04077060931899642,2232.0,243.0,91.0,15.0
Albania,4,0.0465711361310133,15632.0,530.0,728.0,16.0
Albania,5,0.03376857271499325,28873.0,364.0,975.0,2.0
Albania,6,0.023997641509433964,50880.0,1398.0,1221.0,29.0
Albania,7,0.027594852080895873,119660.0,2741.0,3302.0,95.0
Albania,8,0.030159198881352104,230278.0,4237.0,6945.0,127.0
Albania,9,0.029376149513919828,350148.0,4136.0,10286.0,103.0
Albania,10,0.026250086028247854,523084.0,7226.0,13731.0,122.0
Albania,11,0.02220957508704205,866248.0,17307.0,19239.0,301.0
Albania,12,0.020679528649297084,1540509.0,20134.0,31857.0,371.0
Algeria,2,0.0,5.0,1.0,0.0,0.0
Algeria,3,0.06717810491395397,4823.0,715.0,324.0,44.0
Algeria,4,0.13233664762507735,69497.0,3290.0,9197.0,406.0
Algeria,5,0.07995023510601058,211394.0,5388.0,16901.0,203.0
Algeria,6,0.06985989538776682,337819.0,4513.0,23600.0,259.0
Algeria,7,0.048525403167202046,674286.0,16487.0,32720.0,298.0
Algeria,8,0.03580192325217961,1185076.0,14100.0,42428.0,300.0
Algeria,9,0.033576311981841744,1458290.0,7036.0,48964.0,226.0
Algeria,10,0.033969438671537885,1683631.0,6412.0,57192.0,228.0
Algeria,11,0.03145415699311217,2074384.0,25257.0,65248.0,467.0
Algeria,12,0.02816477530797422,2884170.0,16411.0,81232.0,325.0
Andorra,3,0.013993541442411194,2787.0,376.0,39.0,12.0
Andorra,4,0.0479953941170313,19106.0,369.0,917.0,30.0
Andorra,5,0.0646012426589497,23498.0,19.0,1518.0,9.0
Andorra,6,0.06056211046215358,25511.0,91.0,1545.0,1.0
Andorra,7,0.059321410171487454,27174.0,70.0,1612.0,0.0
Andorra,8,0.05200433369447454,31382.0,251.0,1632.0,1.0
Andorra,9,0.035118718939812256,45275.0,874.0,1590.0,0.0
Andorra,10,0.018386098363200636,103067.0,2706.0,1895.0,22.0
Andorra,11,0.01295545632822014,174907.0,1989.0,2266.0,1.0
Andorra,12,0.010768528779088717,230115.0,1304.0,2478.0,8.0
Angola,3,0.125,48.0,7.0,6.0,2.0
Angola,4,0.09983361064891846,601.0,20.0,60.0,0.0
Angola,5,0.05186089078706528,1639.0,59.0,85.0,2.0
Angola,6,0.045064377682403435,4660.0,198.0,210.0,9.0
Angola,7,0.04563818644321412,20049.0,864.0,915.0,39.0
Angola,8,0.04440500338066261,59160.0,1506.0,2627.0,56.0
Angola,9,0.03828867218688604,111469.0,2318.0,4268.0,75.0
Angola,10,0.03139074947824932,233349.0,5833.0,7325.0,101.0
Angola,11,0.02382689155005848,404417.0,4334.0,9636.0,64.0
Angola,12,0.023003121936624293,508018.0,2414.0,11686.0,57.0
Antigua and Barbuda,3,0.0,61.0,7.0,0.0,0.0
Antigua and Barbuda,4,0.10048622366288493,617.0,17.0,62.0,3.0
Antigua and Barbuda,5,0.11984536082474227,776.0,2.0,93.0,0.0
Antigua and Barbuda,6,0.08771929824561403,1026.0,43.0,90.0,0.0
Antigua and Barbuda,7,0.03930684699915469,2366.0,22.0,93.0,0.0
Antigua and Barbuda,8,0.032280458174245054,2881.0,3.0,93.0,0.0
Antigua and Barbuda,9,0.031185031185031187,2886.0,7.0,90.0,0.0
Antigua and Barbuda,10,0.025934188510875627,3586.0,27.0,93.0,0.0
Antigua and Barbuda,11,0.026439337781072398,4047.0,13.0,107.0,1.0
Antigua and Barbuda,12,0.030713058419243985,4656.0,18.0,143.0,1.0
Argentina,1,,0.0,0.0,0.0,0.0
Argentina,2,,0.0,0.0,0.0,0.0
Argentina,3,0.024199724306938276,6529.0,1054.0,158.0,27.0
Argentina,4,0.04488501598432505,77576.0,3374.0,3482.0,191.0
Argentina,5,0.04195880329225275,275556.0,12423.0,11562.0,321.0
Argentina,6,0.02453603750554409,1091252.0,47679.0,26775.0,768.0
Argentina,7,0.018564561889158653,3728771.0,126772.0,69223.0,2236.0
Argentina,8,0.0199016395535215,9244163.0,226433.0,183974.0,5117.0
Argentina,9,0.02118599004604017,17545982.0,333266.0,371729.0,8277.0
Argentina,10,0.026575311582327538,29922509.0,415923.0,795200.0,14065.0
Argentina,11,0.02703549048592634,39307295.0,257609.0,1062692.0,7728.0
Argentina,12,0.02711323902680853,47136788.0,200981.0,1278031.0,4515.0
Armenia,3,0.002927543303244694,4099.0,532.0,12.0,3.0
Armenia,4,0.014434006189915367,36511.0,1534.0,527.0,29.0
Armenia,5,0.013285351117567434,151445.0,7216.0,2012.0,99.0
Armenia,6,0.01678609201734467,520967.0,16260.0,8745.0,312.0
Armenia,7,0.018218873938953474,1026463.0,13008.0,18701.0,295.0
Armenia,8,0.01974513427919841,1286089.0,5231.0,25394.0,141.0
Armenia,9,0.01976388037692753,1398359.0,6578.0,27637.0,80.0
Armenia,10,0.016767913178941718,2012415.0,39454.0,33744.0,382.0
Armenia,11,0.015248897145651476,3480514.0,45311.0,53074.0,823.0
Armenia,12,0.01697613247012919,4636215.0,24285.0,78705.0,659.0
Asia,1,0.023157072154206825,38390.0,9333.0,889.0,196.0
Asia,2,0.028253473292360873,1654770.0,73831.0,46753.0,2691.0
Asia,3,0.0391260484936303,3594204.0,95313.0,140627.0,4232.0
Asia,4,0.037347072858807714,10362124.0,341931.0,386995.0,11570.0
Asia,5,0.03071852332700268,24792598.0,617814.0,761592.0,12125.0
Asia,6,0.025371068730277387,50941843.0,1166426.0,1292449.0,26152.0
Asia,7,0.023480836653187974,100765958.0,1991314.0,2366069.0,39743.0
Asia,8,0.021106667169709502,176605239.0,2817359.0,3727548.0,45881.0
Asia,9,0.018948609516702467,268165429.0,3554777.0,5081362.0,52510.0
Asia,10,0.0179328101296261,381831902.0,3045973.0,6847319.0,48211.0
Asia,11,0.01762112720334883,456260142.0,3076661.0,8039818.0,48833.0
Asia,12,0.01656226805925318,592609597.0,3080524.0,9814959.0,45251.0
Australia,1,0.0,38.0,9.0,0.0,0.0
Australia,2,0.0,431.0,16.0,0.0,0.0
Australia,3,0.005325261358221923,35679.0,4534.0,190.0,18.0
Australia,4,0.009654314952764524,188206.0,2207.0,1817.0,75.0
Australia,5,0.01411143021252154,217625.0,436.0,3071.0,10.0
Australia,6,0.013813333572914187,222611.0,718.0,3075.0,1.0
Australia,7,0.011047218843304214,361720.0,9360.0,3996.0,97.0
Australia,8,0.018290204769853647,711091.0,8539.0,13006.0,456.0
Australia,9,0.030559408864288755,800899.0,1277.0,24475.0,231.0
Australia,10,0.032944585107336,848364.0,499.0,27949.0,19.0
Australia,11,0.032686537403575196,832514.0,317.0,27212.0,1.0
Australia,12,0.03228384741171911,872046.0,513.0,28153.0,1.0
Austria,2,0.0,19.0,9.0,0.0,0.0
Austria,3,0.007381901370250701,84802.0,10171.0,626.0,128.0
Austria,4,0.027952603045714477,417242.0,5272.0,11663.0,456.0
Austria,5,0.038910723526861264,500479.0,1279.0,19474.0,84.0
Austria,6,0.03975042281493894,515592.0,1035.0,20495.0,37.0
Austria,7,0.036633336886141385,600464.0,3364.0,21997.0,13.0
Austria,8,0.030603108002896853,735971.0,6308.0,22523.0,15.0
Austria,9,0.02155519647017603,1058863.0,17375.0,22824.0,66.0
Austria,10,0.013761035995833735,2039236.0,60112.0,28062.0,310.0
Austria,11,0.009766788092969983,6048662.0,177531.0,59076.0,2075.0
Austria,12,0.014753499626099478,10147084.0,78359.0,149705.0,3038.0
Azerbaijan,3,0.019190871369294607,1928.0,298.0,37.0,5.0
Azerbaijan,4,0.012134755183435635,35353.0,1506.0,429.0,19.0
Azerbaijan,5,0.012081528160693186,101560.0,3690.0,1227.0,39.0
Azerbaijan,6,0.012062508230005297,326549.0,12030.0,3939.0,150.0
Azerbaijan,7,0.013093135256729622,794844.0,14354.0,10407.0,235.0
Azerbaijan,8,0.014607186638206964,1065366.0,4557.0,15562.0,86.0
Azerbaijan,9,0.014677356726703847,1156339.0,3794.0,16972.0,57.0
Azerbaijan,10,0.014031870733251978,1403733.0,15040.0,19697.0,139.0
Azerbaijan,11,0.012426616209812221,2434291.0,65907.0,30250.0,662.0
Azerbaijan,12,0.01126260843489394,5629069.0,97524.0,63398.0,1249.0
Bahamas,3,0.0,99.0,14.0,0.0,0.0
Bahamas,4,0.14892268694550062,1578.0,67.0,235.0,11.0
Bahamas,5,0.11626321172860553,2933.0,21.0,341.0,0.0
Bahamas,6,0.1064516129032258,3100.0,2.0,330.0,0.0
Bahamas,7,0.05419334686865532,6403.0,470.0,347.0,3.0
Bahamas,8,0.018956438487314504,41780.0,1643.0,792.0,36.0
Bahamas,9,0.022609125279257604,93104.0,1906.0,2105.0,46.0
Bahamas,10,0.021204774009475222,170339.0,2591.0,3612.0,48.0
Bahamas,11,0.021885053634838076,215718.0,827.0,4721.0,19.0
Bahamas,12,0.02148378550588551,238552.0,330.0,5125.0,7.0
Bahrain,2,0.0,167.0,41.0,0.0,0.0
Bahrain,3,0.005280103026400515,7765.0,526.0,41.0,4.0
Bahrain,4,0.003903360999260416,48676.0,2473.0,190.0,4.0
Bahrain,5,0.001657941492242354,210502.0,8358.0,349.0,11.0
Bahrain,6,0.002504518909899889,575360.0,15360.0,1441.0,68.0
Bahrain,7,0.0034167515736876633,1074705.0,14224.0,3672.0,60.0
Bahrain,8,0.003668848909880056,1447593.0,10990.0,5311.0,43.0
Bahrain,9,0.003499564439986187,1856231.0,18892.0,6496.0,61.0
Bahrain,10,0.0037612696807337175,2388821.0,10781.0,8985.0,70.0
Bahrain,11,0.00394476773836073,2539313.0,5311.0,10017.0,20.0
Bahrain,12,0.0038722234589776998,2780573.0,5719.0,10767.0,11.0
Bangladesh,3,0.08974358974358974,546.0,51.0,49.0,5.0
Bangladesh,4,0.03063329681430787,70283.0,7616.0,2153.0,163.0
Bangladesh,5,0.014694158846236417,731311.0,39486.0,10746.0,482.0
Bangladesh,6,0.01311191769463763,2836656.0,98330.0,37194.0,1197.0
Bangladesh,7,0.012846574021027256,6049862.0,92178.0,77720.0,1264.0
Bangladesh,8,0.013320304998456095,8565945.0,75335.0,114101.0,1170.0
Bangladesh,9,0.014063611775125672,10232791.0,50483.0,143910.0,970.0
Bangladesh,10,0.014552240988948627,11965030.0,44205.0,174118.0,672.0
Bangladesh,11,0.01435561428902212,13055589.0,57248.0,187421.0,721.0
Bangladesh,12,0.014464432000465315,15301465.0,48578.0,221327.0,915.0
Barbados,3,0.0,255.0,34.0,0.0,0.0
Barbados,4,0.0589087397392564,2071.0,47.0,122.0,7.0
Barbados,5,0.08045977011494253,2697.0,11.0,217.0,0.0
Barbados,6,0.07342657342657342,2860.0,5.0,210.0,0.0
Barbados,7,0.06762231224680586,3209.0,13.0,217.0,0.0
Barbados,8,0.04662655779974216,4654.0,64.0,217.0,0.0
Barbados,9,0.038077969174977334,5515.0,16.0,210.0,0.0
Barbados,10,0.032426778242677826,6692.0,47.0,217.0,0.0
Barbados,11,0.027766759222530742,7563.0,39.0,210.0,0.0
Barbados,12,0.022341192216616904,9713.0,107.0,217.0,0.0
Belarus,2,0.0,2.0,1.0,0.0,0.0
Belarus,3,0.0006825938566552901,1465.0,151.0,1.0,1.0
Belarus,4,0.0077779401410789486,150554.0,13875.0,1171.0,88.0
Belarus,5,0.005609230367693713,888892.0,28529.0,4986.0,146.0
Belarus,6,0.005828955828279686,1626878.0,19562.0,9483.0,157.0
Belarus,7,0.007368459955896665,2029325.0,5690.0,14953.0,167.0
Belarus,8,0.008834617624969556,2159686.0,4035.0,19080.0,122.0
Belarus,9,0.010148221189909651,2246305.0,6788.0,22796.0,152.0
Belarus,10,0.010503396949573703,2701983.0,19851.0,28380.0,147.0
Belarus,11,0.00911684447328649,3481029.0,38165.0,31736.0,178.0
Belarus,12,0.0077790578091948065,5144839.0,57637.0,40022.0,266.0
Belgium,2,0.0,26.0,1.0,0.0,0.0
Belgium,3,0.035333505600557244,89009.0,12774.0,3145.0,705.0
Belgium,4,0.13351677162033912,993613.0,35744.0,132664.0,6889.0
Belgium,5,0.1622830682957657,1688377.0,9862.0,273995.0,1873.0
Belgium,6,0.1607049096800477,1801706.0,3046.0,289543.0,280.0
Belgium,7,0.15344147126604044,1979139.0,7324.0,303682.0,94.0
Belgium,8,0.1274938490210098,2409779.0,16485.0,307232.0,54.0
Belgium,9,0.1008665968607643,2955815.0,33216.0,298143.0,121.0
Belgium,10,0.046038355264182824,7060830.0,310777.0,325069.0,1609.0
Belgium,11,0.027369805742302872,15807456.0,148116.0,432647.0,5020.0
Belgium,12,0.029668886049839752,19046283.0,69151.0,565082.0,2883.0
Belize,3,0.0,18.0,3.0,0.0,0.0
Belize,4,0.11192214111922141,411.0,15.0,46.0,2.0
Belize,5,0.1111111111111111,558.0,0.0,62.0,0.0
Belize,6,0.0947867298578199,633.0,6.0,60.0,0.0
Belize,7,0.05132450331125828,1208.0,24.0,62.0,0.0
Belize,8,0.011759613303513454,13861.0,959.0,163.0,11.0
Belize,9,0.012722310265891882,45432.0,985.0,578.0,14.0
Belize,10,0.015249795444034674,84329.0,1495.0,1286.0,32.0
Belize,11,0.020197420502868834,142741.0,2367.0,2883.0,89.0
Belize,12,0.02205063946854459,285706.0,4922.0,6300.0,100.0
Benin,3,0.0,68.0,9.0,0.0,0.0
Benin,4,0.021222410865874362,1178.0,55.0,25.0,1.0
Benin,5,0.011117879987816022,6566.0,168.0,73.0,2.0
Benin,6,0.014867376245987498,17757.0,967.0,264.0,18.0
Benin,7,0.019034374864195385,46022.0,606.0,876.0,15.0
Benin,8,0.01901201177312863,62855.0,340.0,1195.0,4.0
Benin,9,0.017658388837428138,68013.0,212.0,1201.0,1.0
Benin,10,0.01651850696610522,76944.0,286.0,1271.0,0.0
Benin,11,0.014996320996017332,85621.0,372.0,1284.0,2.0
Benin,12,0.0140353406376143,97112.0,236.0,1363.0,1.0
Bhutan,3,0.0,46.0,4.0,0.0,0.0
Bhutan,4,0.0,167.0,3.0,0.0,0.0
Bhutan,5,0.0,561.0,36.0,0.0,0.0
Bhutan,6,0.0,1897.0,34.0,0.0,0.0
Bhutan,7,0.0,2700.0,24.0,0.0,0.0
Bhutan,8,0.0,4396.0,124.0,0.0,0.0
Bhutan,9,0.0,7485.0,57.0,0.0,0.0
Bhutan,10,0.0,9919.0,67.0,0.0,0.0
Bhutan,11,0.0,11234.0,61.0,0.0,0.0
Bhutan,12,0.0,15035.0,260.0,0.0,0.0
Bolivia,3,0.016129032258064516,682.0,107.0,11.0,6.0
Bolivia,4,0.05992838321735018,14801.0,1060.0,887.0,56.0
Bolivia,5,0.03981956984404849,137671.0,8815.0,5482.0,251.0
Bolivia,6,0.032702299116074945,614758.0,23237.0,20104.0,810.0
Bolivia,7,0.037020613142326485,1700323.0,43570.0,62947.0,1854.0
Bolivia,8,0.040910508020645164,3085662.0,39809.0,126236.0,2050.0
Bolivia,9,0.05569304501632035,3821303.0,18713.0,212820.0,2938.0
Bolivia,10,0.060422253920323694,4317118.0,6446.0,260850.0,760.0
Bolivia,11,0.06178821769105007,4298716.0,2951.0,265610.0,232.0
Bolivia,12,0.060426586783891706,4637462.0,15416.0,280226.0,208.0
Bosnia and Herzegovina,3,0.017692852087756547,2826.0,420.0,50.0,13.0
Bosnia and Herzegovina,4,0.03807471264367816,33408.0,1337.0,1272.0,56.0
Bosnia and Herzegovina,5,0.054464078121367124,68816.0,753.0,3748.0,84.0
Bosnia and Herzegovina,6,0.052602267592758,95167.0,1943.0,5006.0,33.0
Bosnia and Herzegovina,7,0.03135786119273269,241630.0,7423.0,7577.0,153.0
Bosnia and Herzegovina,8,0.02992003814249292,494986.0,8088.0,14810.0,270.0
Bosnia and Herzegovina,9,0.030358752478817377,721110.0,7505.0,21892.0,247.0
Bosnia and Herzegovina,10,0.02861765271125303,1082304.0,22621.0,30973.0,378.0
Bosnia and Herzegovina,11,0.02721794701900231,2143108.0,37811.0,58331.0,1447.0
Bosnia and Herzegovina,12,0.03384915372378274,3166283.0,23084.0,107176.0,1369.0
